croplands_to_croplands,croplands_to_forests_mangroves,croplands_to_forests_primary,croplands_to_forests_secondary,croplands_to_grasslands,croplands_to_other,croplands_to_settlements,croplands_to_wetlands,forests_mangroves_to_croplands,forests_mangroves_to_forests_mangroves,forests_mangroves_to_forests_primary,forests_mangroves_to_forests_secondary,forests_mangroves_to_grasslands,forests_mangroves_to_other,forests_mangroves_to_settlements,forests_mangroves_to_wetlands,forests_primary_to_croplands,forests_primary_to_forests_mangroves,forests_primary_to_forests_primary,forests_primary_to_forests_secondary,forests_primary_to_grasslands,forests_primary_to_other,forests_primary_to_settlements,forests_primary_to_wetlands,forests_secondary_to_croplands,forests_secondary_to_forests_mangroves,forests_secondary_to_forests_primary,forests_secondary_to_forests_secondary,forests_secondary_to_grasslands,forests_secondary_to_other,forests_secondary_to_settlements,forests_secondary_to_wetlands,grasslands_to_croplands,grasslands_to_forests_mangroves,grasslands_to_forests_primary,grasslands_to_forests_secondary,grasslands_to_grasslands,grasslands_to_other,grasslands_to_settlements,grasslands_to_wetlands,other_to_croplands,other_to_forests_mangroves,other_to_forests_primary,other_to_forests_secondary,other_to_grasslands,other_to_other,other_to_settlements,other_to_wetlands,settlements_to_croplands,settlements_to_forests_mangroves,settlements_to_forests_primary,settlements_to_forests_secondary,settlements_to_grasslands,settlements_to_other,settlements_to_settlements,settlements_to_wetlands,wetlands_to_croplands,wetlands_to_forests_mangroves,wetlands_to_forests_primary,wetlands_to_forests_secondary,wetlands_to_grasslands,wetlands_to_other,wetlands_to_settlements,wetlands_to_wetlands,country
0.96,0.0001,0.0,0.000396308278708905,0.0001,0.05716852903998993,0.0001,0.0001,0.0001,0.9951084451395402,0.0,0.0,0.0001,0.004491554860459805,0.0001,0.0001,0.0001,0.0,0.9947911562846421,0.0,0.0001,0.0001,0.003742889084511115,0.001165954630846845,0.0001,0.0,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.00010000000000000174,0.0,0.0001,0.96,0.03950000000000011,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.9977176007631062,0.0001,0.0017823992368938741,0.0001,0.039500000000000104,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.0001,0.03949999999999999,0.0,0.0001,0.0001,0.0001,0.0001,0.96,Ecuador
0.96,0.01033528658543236,0.0,0.000980345792474654,0.001730186362246914,0.021452958915148014,0.003521157071699095,0.00198006527299906,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0037237427201553585,0.0,0.9908444355971018,0.0,0.003577224510181172,0.0009150888408676727,0.0008395083316940846,0.0001,0.0001,0.0,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.1995,0.0001,0.0,0.0001,0.0001,0.8,0.0001,0.0001,0.009500000000000074,0.0001,0.0,0.0001,0.0001,0.0001,0.99,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,El Salvador
0.9975097919621749,0.0001,0.0,0.0001,0.015335238613218163,0.0001,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9994476940796926,0.0,0.0001530454590403686,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.004335481018003543,0.0001,0.0,0.0001,0.9951645189819965,0.0001,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.96,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,Guyana
0.9623662768890148,0.00021817056518407563,0.0,0.0006320223702445322,0.014450666666666712,0.00924513113347306,0.002185721253380465,0.010902011122036495,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.01168580583561565,0.0,0.9879141941643844,0.0,0.0001,0.0001,0.0001,0.0001,0.02066125000000018,0.0,0.018938749999999928,0.96,0.0001,0.0001,0.0001,0.0001,0.03357269636549321,0.0008454905324446884,0.0,0.0013767992735586663,0.96,0.004005013828503534,0.0001,0.0001,0.13550000000000004,0.0001,0.0,0.0001,0.0001,0.8639999999999999,0.0001,0.0001,0.02150000000000009,0.0001,0.0,0.0001,0.0001,0.0001,0.9780000000000001,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,Haiti
0.9708616548832459,0.00151364486969349,0.0,0.0001,0.022243533701042754,0.006860943461538427,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.996680000122193,0.0,0.0005654862415047508,0.0016449982291782215,0.0005430966257387201,0.00046641878138544156,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0011779535605317972,0.0,0.0001,0.9901940378778683,0.008228008561600067,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.96,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,Honduras
0.96,0.0001,0.0,0.0014663877380179568,0.03813361226198215,0.0001,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9994999999999999,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.03557498546188615,0.0001,0.0,0.0001,0.9639186609767415,0.0001,0.0001,0.00010635356137236266,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.96,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,Jamaica
0.96,0.0001,0.0,0.0001,0.0001,0.04018557330470448,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9981022699139711,0.0,0.0014977300860289269,0.0001,0.0001,0.0001,0.039500000000000104,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.011544683703106228,0.0001381701786781872,0.0,0.0001,0.9838311310630222,0.004066316460490352,0.00021969859470311184,0.0001,0.0001,0.0001,0.0,0.0001,0.039500000000000104,0.96,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,Mexico
0.96,0.007961286040276109,0.0,0.0008702450654841079,0.021018468894239667,0.009949999999999804,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.010682948246435429,0.0,0.9776854291382691,0.0,0.0026515771546103063,0.004020873976291713,0.0020793880194907013,0.00287978346490281,0.0001,0.0,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.0002568527854718424,0.0028044104491864075,0.0,0.0005803491292456179,0.96,0.03615838763609624,0.0001,0.0001,0.00013365412306328561,0.002810292609841911,0.0,0.0013622474176668345,0.03549380584942807,0.96,0.0001,0.0001,0.039500000000000104,0.0001,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,Nicaragua
0.96,0.004225222488688814,0.0,0.0015345505831617014,0.007746958920356679,0.026366666666666577,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.9966003855295177,0.0,0.00039545981639723223,0.00235339501048264,0.00039613422988346575,0.00015462541371899822,0.01323333333333337,0.0,0.026366666666666736,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.9694022625202557,0.030097737479744358,0.0001,0.0001,0.029458700565204343,0.028282794072298712,0.0,0.005048578942627008,0.08115687490226256,0.8533333333333334,0.0022597809029983283,0.00045993728127577405,0.019500000000000087,0.0001,0.0,0.0001,0.0001,0.0001,0.98,0.0001,0.03949999999999999,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.96,Panama
0.9901319603284902,0.0001,0.0,0.0008965668792173694,0.009629600993087146,0.0001,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.000507640052345904,0.0,0.9803651278687866,0.0,0.009337567390259033,0.0067320557118739684,0.00013789531159423175,0.002919713665140319,0.03162000000000008,0.0,0.007980000000000022,0.96,0.0001,0.0001,0.0001,0.0001,0.004445213311026938,0.0001,0.0,0.0004818399117147697,0.9894329967918217,0.004737841782690925,0.0001,0.0007021082027457102,0.03162000000000008,0.0001,0.0,0.007980000000000022,0.0001,0.96,0.0001,0.0001,0.03162000000000008,0.0001,0.0,0.007980000000000022,0.0001,0.0001,0.96,0.0001,0.031619999999999995,0.0001,0.0,0.00798,0.0001,0.0001,0.0001,0.96,Paraguay
0.96,0.00010000000000000005,0.0,0.0001,0.0001,0.03951245279173484,0.0001,0.0001,0.015900000000000043,0.96,0.0,0.0,0.0001,0.02380000000000005,0.0001,0.0001,0.0001,0.0,0.997006639294814,0.0,0.0001,0.0025261485679601422,0.00016721213722592948,0.0001,0.007980000000000022,0.0,0.03162000000000008,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,9.999999999999998e-05,0.0,0.0001,0.96,0.039500000000000104,0.0001,0.0001,0.008989730696702855,0.00046080585720992636,0.0,0.001527578175690586,0.025452523905015907,0.96280993585048,0.0002856132785009566,0.0004738122363998093,0.007980000000000022,0.0001,0.0,0.00798000000000002,0.0001,0.023740000000000063,0.96,0.0001,0.00798,0.0001,0.0,0.005013229555780629,0.0001,0.026706770444219364,0.0001,0.96,Peru
0.968,0.05798631366150649,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.004547548127623726,0.9829731983809594,0.0,0.0,0.0001,0.012179253491416773,0.0001,0.0001,0.0001,0.0,0.9993341019734505,0.0,0.0001,0.00012235142857344126,0.0001,0.00024354659797621607,0.03162000000000008,0.0,0.007980000000000022,0.96,0.0001,0.0001,0.0001,0.0001,0.012406826228574972,0.027193173771425133,0.0,0.0001,0.96,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.00126656345596766,0.0001,0.9847236704597548,0.0001,0.013609766084277422,0.03156950345952219,0.008030496540477914,0.0,0.0001,0.0001,0.0001,0.96,0.0001,0.0001,0.011496884892380353,0.0,0.005488718884964468,0.0001,0.01976891866343431,0.0001,0.9629454775592208,Suriname
0.96,0.0001,0.0,0.0001,0.0001,0.039500000000000104,0.0001,0.0001,0.0001,0.96,0.0,0.0,0.0001,0.03960000000000009,0.0001,0.0001,0.0001,0.0,0.99,0.0,0.0001,0.009600000000000063,0.0001,0.00010000000000000009,0.0001,0.0,0.013312565055762126,0.96,0.0001,0.026287434944237974,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.96,0.039500000000000104,0.0001,0.0001,0.04064787020165944,0.02000873373572175,0.0,0.07093450526561662,0.0051734599237812946,0.8171080909852432,0.03479571541929432,0.011331624468683644,0.0001,0.0001,0.0,0.0001,0.0001,0.009500000000000074,0.99,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.03949999999999999,0.0001,0.96,Trinidad and Tobago
0.9613129661844168,0.0001,0.0,0.01010918418106766,0.03871817809359737,0.0001,0.0001,0.0001,0.03960000000000009,0.96,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.009866345890842568,0.0,0.9818336541091576,0.0,0.00800000000000002,0.0001,0.0001,0.0001,0.0042427428701716065,0.0,0.02152876046053195,0.9735588063232127,0.0003696903460838787,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.00010000000000000018,0.9922442544309492,0.004433805615890884,0.0006669020458326403,0.002355037907327361,0.014686598339199428,0.0001,0.0,0.02491340166080068,0.0001,0.96,0.0001,0.0001,0.03162000000000008,0.0001,0.0,0.007980000000000022,0.0001,0.0001,0.96,0.0001,0.031619999999999995,0.0001,0.0,0.00798,0.0001,0.0001,0.0001,0.96,Uruguay
0.96,0.0001,0.0,0.0001,0.0001,0.0394999999999982,0.0001,0.0001,0.0001,0.96,0.0,0.0,0.0001,0.03960000000000009,0.0001,0.0001,0.0001,0.0,0.9952426626706327,0.0,0.0001,0.0043573373293673435,0.0001,9.999999999999991e-05,0.0001,0.0,0.039500000000000104,0.96,0.0001,0.0001,0.0001,0.0001,0.00010000000000000018,9.999999999999998e-05,0.0,0.00010000000000000018,0.96,0.039500000000000104,0.00010000000000000002,0.0001,0.008578370309847025,0.002505618645844857,0.0,0.005479103189385261,0.049593364916986654,0.921652707071361,0.0011789725178564963,0.011011863348718898,0.0001,0.0001,0.0,0.0001,0.0001,0.009500000000000074,0.99,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.03949999999999999,0.0001,0.96,Venezuela (Bolivarian Republic of)
