croplands_to_croplands,croplands_to_forests_mangroves,croplands_to_forests_primary,croplands_to_forests_secondary,croplands_to_grasslands,croplands_to_other,croplands_to_settlements,croplands_to_wetlands,forests_mangroves_to_croplands,forests_mangroves_to_forests_mangroves,forests_mangroves_to_forests_primary,forests_mangroves_to_forests_secondary,forests_mangroves_to_grasslands,forests_mangroves_to_other,forests_mangroves_to_settlements,forests_mangroves_to_wetlands,forests_primary_to_croplands,forests_primary_to_forests_mangroves,forests_primary_to_forests_primary,forests_primary_to_forests_secondary,forests_primary_to_grasslands,forests_primary_to_other,forests_primary_to_settlements,forests_primary_to_wetlands,forests_secondary_to_croplands,forests_secondary_to_forests_mangroves,forests_secondary_to_forests_primary,forests_secondary_to_forests_secondary,forests_secondary_to_grasslands,forests_secondary_to_other,forests_secondary_to_settlements,forests_secondary_to_wetlands,grasslands_to_croplands,grasslands_to_forests_mangroves,grasslands_to_forests_primary,grasslands_to_forests_secondary,grasslands_to_grasslands,grasslands_to_other,grasslands_to_settlements,grasslands_to_wetlands,other_to_croplands,other_to_forests_mangroves,other_to_forests_primary,other_to_forests_secondary,other_to_grasslands,other_to_other,other_to_settlements,other_to_wetlands,settlements_to_croplands,settlements_to_forests_mangroves,settlements_to_forests_primary,settlements_to_forests_secondary,settlements_to_grasslands,settlements_to_other,settlements_to_settlements,settlements_to_wetlands,wetlands_to_croplands,wetlands_to_forests_mangroves,wetlands_to_forests_primary,wetlands_to_forests_secondary,wetlands_to_grasslands,wetlands_to_other,wetlands_to_settlements,wetlands_to_wetlands,country,optimization_bound
0.9770188856217816,0.0,0.0,0.0005353484473556645,0.012159075009065358,0.007144343430033402,0.0004219747252701611,0.0027203727664937317,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003496303552276625,0.0,0.9925593120984451,0.0,0.0,0.003944384349278367,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004084398994437825,0.0,0.0,2.8590800297344645e-05,0.9750990957971233,0.020669299233635613,3.569267269515122e-05,8.292250181081898e-05,0.0018268652114073179,0.0,2.168404344971009e-19,0.0,4.404571325722362e-19,0.9981731347885927,1.266219275241693e-19,1.6940658945086007e-21,0.0009073628015759124,0.0,0.0,0.0,0.0,0.0,0.9990926371984241,0.0,0.0004448711834466037,0.0,0.0,0.0,0.0,5.035577005710204e-05,0.0,0.9995047730464963,argentina,max_diagonal
0.936608909489022,0.041037490717279405,0.02124248868258784,0.0,0.0,0.0,0.00038165652022408643,0.0007294545908867118,0.0001329799545794871,0.981556111143155,0.013333333333333346,0.0,1.434921375151127e-20,0.0001032017236817625,5.990133179761193e-05,0.004814472513452918,3.854941057726238e-19,0.0,0.9879858656970362,0.0,4.3584949245326645e-05,0.0,5.6358297846585996e-05,0.011914191055872029,0.013333333333333345,0.0,0.0,0.9866666666666666,0.0,0.0,0.0,0.0,0.01666666666666668,0.0,0.0,0.0,0.9833333333333333,0.0,0.0,0.0,2.9866319414690937e-05,0.004681479702160608,0.008651853631172737,0.0,0.0,0.9776959797417272,0.0,0.008940820605524598,0.0034149645769793444,0.0,0.0,0.0,0.0,0.0,0.9957005558520593,0.0008844795709613695,8.03545652660619e-06,0.00010362603424292563,0.012671222105882958,0.0,3.6390664688970045e-05,0.0006927474814784809,0.00010698268409928586,0.9863809955730807,bahamas,max_diagonal
0.9304826151734742,0.0,0.004692240287605098,0.0,0.0018620001141290113,0.005841455050426916,0.05657696302955427,0.000544726344810516,0.008888888888888898,0.991111111111111,0.0,0.0,0.0,0.0,0.0,0.0,7.709882115452476e-18,0.0,0.991111111111111,0.0,0.0,0.008888888888888927,7.709882115452475e-18,7.709882115452476e-18,0.008888888888888898,0.0,0.0,0.991111111111111,0.0,0.0,0.0,0.0,0.01111111111111112,0.0,0.0,0.0,0.9888888888888889,0.0,0.0,0.0,0.009193662460622866,0.0,0.0,0.0,0.0,0.9899461505567346,0.0008552833256767056,4.903656965756055e-06,0.0023080879770491516,0.0,0.0,0.0,0.0,0.0009612611372534432,0.9967306508856973,4.818676322157797e-20,0.0088888888888889,0.0,0.0,0.0,0.0,0.003735525478408338,0.0,0.9873755856327028,barbados,max_diagonal
0.9980000000000001,0.0020000000000000365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016580679795773767,0.0011295398070465968,0.9919737516087687,7.430527647957218e-06,3.0977204928157274e-20,0.004306625840366799,0.00032760777036138405,0.0005969764662312315,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.657422760948445e-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.912705577010326e-19,0.00014671662839898207,0.0,0.0,0.0,0.999853283371601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0016774124224214443,0.0,0.0,0.0,0.0,0.0,0.0,0.9983225875775785,belize,max_diagonal
0.9886706455407387,0.0,0.00511456252773621,0.00033388512449618817,0.0,0.004237706172530156,0.0001943128303871604,0.0014488878041116534,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011169926532749814,0.0,0.9951932718226149,3.764590876685779e-22,0.0,0.003543819758060123,2.1453569355083356e-05,0.0001244621966950171,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3168914626486347e-17,0.0,0.0,0.0,1.0,2.8837984595525656e-17,0.0,0.0,1.789916926260988e-05,1.6389533815138129e-34,0.0,0.0,0.0,0.9999821008307374,8.31005116606876e-19,1.7943688213048894e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000382938422848583,0.0,0.0,0.0,0.0,0.0,0.0,0.9996170615771516,bolivia,max_diagonal
0.9979999999999998,0.0005967764171719192,0.0,0.0011870442694256447,0.00021617931340248763,0.0,0.0,0.0,0.00022620483891110706,0.9997737951610889,0.0,0.0,0.0,0.0,0.0,0.0,0.0006676528227773706,3.3881317890172014e-21,0.995469316997786,0.0007640453880316503,0.0007679010039978574,0.001962731004287233,0.00011280544011978837,0.0002555473430000894,0.002287216529816114,0.0,0.0,0.9977127834701839,0.0,0.0,0.0,0.0,8.673617379884035e-19,0.0,0.0,2.57061122530543e-19,1.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,brazil,max_diagonal
0.9831607692830993,0.0,0.007301868802793017,0.009315139691885676,0.0,0.0,0.00022222222222202453,0.0,0.004444444444444449,0.9955555555555556,0.0,0.0,0.0,0.0,0.0,0.0,4.380219285741404e-21,0.0,0.9955555555555556,5.299421342528241e-18,0.004444444444444449,0.0,0.0,0.0,5.782411586589357e-19,0.0,0.0,0.996908074873423,0.0030919251265768767,0.0,0.0,0.0,0.0,0.0,0.005398406469259139,1.6504121935330576e-17,0.9946015935307408,0.0,0.0,0.0,0.0002414468804802138,0.0,0.002071799350116064,0.0007726046390552915,1.3500478013932383e-05,0.9964530611093877,5.6510508354609777e-05,0.00039107703459235826,0.0011111111111111122,0.0,0.00010494704300395101,0.0,0.0,0.0,0.9987839418458849,0.0,0.011143292911720152,3.423875456688419e-34,0.004378981184355539,0.0,0.0,0.0,0.0,0.9844777259039242,chile,max_diagonal
0.8961812600198348,0.0010821576852180143,0.09101183605775626,0.0002896791232349615,0.011183891465840208,2.895342589347973e-05,0.00022222222222216133,0.0,0.013333333333333345,0.9866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.004583695612616072,0.0,0.9847741737981011,1.2046690805394493e-20,0.0088888888888889,0.0011594952218393752,9.513071895414694e-05,0.0004986157596004368,0.013333333333333348,0.0,0.0,0.9866666666666666,0.0,0.0,0.0,0.0,0.006398087260325287,0.00019208581402112976,0.004955954114175449,0.00027993027905382715,0.985850091231787,0.0019196133318785664,9.886138538915142e-05,0.00030537658336960485,0.004444444444444451,0.0,0.008888888888888898,0.0,0.0,0.9866666666666666,0.0,3.854941057726238e-19,0.003333333333333336,0.0,0.0,0.0,0.0,0.0,0.9966666666666667,0.0,0.013333333333333345,0.0,0.0,0.0,0.0,0.0,0.0,0.9866666666666666,colombia,max_diagonal
0.9813914377427962,0.0008366757472423482,0.016249143392970164,0.0,0.0015227431169913498,0.0,0.0,0.0,0.03306708265759753,0.9669329173424024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011884625121487305,0.9835636431316238,0.00133994486608377,0.014503342441899337,0.0003878671700929404,3.429432877724827e-05,5.206181030797385e-05,0.031111111111111138,0.0,0.0,0.9688888888888888,0.0,0.0,0.0,0.0,0.0004905450780274967,0.0,0.04053808220471473,0.00017777777777777727,0.9583713658322355,2.5264974060290194e-05,0.0002916379725513118,0.00010532616063304551,0.032278116201543014,0.0,0.0,0.000947936055291918,0.0,0.966773947743165,0.0,0.0,0.0077777777777777845,0.0,0.0,0.0,0.0,0.0,0.9922222222222222,0.0,0.031111111111111138,0.0,0.0,0.0,0.0,0.0,0.0,0.9688888888888888,costa_rica,max_diagonal
0.9364316971140723,4.00561326808934e-05,0.06352824675324684,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0008742103741590989,9.041463046367114e-05,0.96,0.007398688170587392,0.030634651735682167,0.0005577552904354869,0.0,0.0004442797986722142,0.040000000000000036,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.050000000000000044,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.96,dominican_republic,max_diagonal
