Variable Type,Variable,Information,Variable Schema,Dashboard,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period
Input,Manure Management Methane Correction Factor,,``mcf_lsmm_$CAT-MANURE-MANAGEMENT$``,,,,,0,1,1
Output,:math:`\text{CH}_4` Emissions from Manure Management,Methane emissions from manure,``emission_co2e_$EMISSION-GAS$_lsmm_$CAT-MANURE-MANAGEMENT$`` (``$EMISSION-GAS$ = ch4``),,,,,1,1,1
Output,:math:`\text{N}_2\text{O}` Emissions from Livestock Manure,Nitrus oxide emissions from manure,``emission_co2e_$EMISSION-GAS$_lsmm_$CAT-MANURE-MANAGEMENT$`` (``$EMISSION-GAS$ = n2o``),,,,,1,1,1
