country,time_period,qty_soil_organic_c_stock_dry_climate_tonne_per_ha,qty_soil_organic_c_stock_temperate_crop_grass_tonne_per_ha,qty_soil_organic_c_stock_temperate_forest_nutrient_poor_tonne_per_ha,qty_soil_organic_c_stock_temperate_forest_nutrient_rich_tonne_per_ha,qty_soil_organic_c_stock_tropical_crop_grass_tonne_per_ha,qty_soil_organic_c_stock_tropical_forest_tonne_per_ha,qty_soil_organic_c_stock_wet_climate_tonne_per_ha
argentina,0,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,1,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,2,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,3,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,4,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,5,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,6,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,7,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,8,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,9,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,10,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,11,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,12,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,13,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,14,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,15,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,16,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,17,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,18,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,19,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,20,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,21,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,22,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,23,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,24,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,25,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,26,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,27,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,28,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
argentina,29,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413,42.86511000455413
