NAME_EN,scc
Argentina,42.86511000455413
Bahamas,67.29784907036093
Barbados,59.53822629969419
Belize,65.54269087523278
Bolivia,46.13941977444245
Brazil,45.13467778624158
Chile,69.70016340116958
Colombia,61.958069810798996
Costa Rica,67.8904317596052
Dominican Republic,66.05496602139473
Ecuador,70.4086107718939
El Salvador,62.57313943541489
Guatemala,66.24712809936636
Guyana,50.29649589288258
Haiti,63.44183414634146
Honduras,66.80228602530957
Jamaica,72.54082123281084
Mexico,42.47799070020801
Nicaragua,60.768127079568295
Panama,61.5287572915079
Paraguay,42.84592094069797
Peru,56.609360018610325
Suriname,46.63077652703966
Trinidad and Tobago,64.61402008976278
Uruguay,64.15686966380527
Venezuela,52.33909655683097
