iso_code3,time_period,cost_enfu_fuel_biofuels_usd_per_m3,cost_enfu_fuel_biogas_usd_per_mmbtu,cost_enfu_fuel_biomass_usd_per_tonne,cost_enfu_fuel_coal_usd_per_tonne,cost_enfu_fuel_coke_usd_per_tonne,cost_enfu_fuel_crude_usd_per_m3,cost_enfu_fuel_diesel_usd_per_m3,cost_enfu_fuel_electricity_usd_per_mmbtu,cost_enfu_fuel_furnace_gas_usd_per_m3,cost_enfu_fuel_gasoline_usd_per_m3,cost_enfu_fuel_hydrocarbon_gas_liquids_usd_per_mmbtu,cost_enfu_fuel_hydrogen_usd_per_m3,cost_enfu_fuel_kerosene_usd_per_m3,cost_enfu_fuel_natural_gas_usd_per_mmbtu,cost_enfu_fuel_oil_usd_per_m3,cost_enfu_fuel_waste_usd_per_mmbtu
ARG,0,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,1,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,2,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,3,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,4,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,5,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,6,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,7,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,8,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,9,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,10,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,11,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,12,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,13,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,14,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,15,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,16,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,17,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,18,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,19,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,20,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,21,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,22,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,23,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,24,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,25,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,26,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,27,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,28,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,29,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,30,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,31,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,32,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,33,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,34,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
ARG,35,398.355714285714,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1611.42857142857,23.486563663386217,13725.646258503399,1920.0,225.20904646928628,5760.0,257.81875,6.239751838321392,524.8036497480927,9380.0
BHS,0,521.090316974692,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1660.5205082032812,55.84952359856443,13725.646258503399,1917.9128015933723,187.58005685984156,5753.738404780115,274.088906795137,6.239751838321392,524.8036497480927,9380.0
BHS,1,521.090316974692,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1660.5205082032812,55.84952359856443,13725.646258503399,1917.9128015933723,187.58005685984156,5753.738404780115,274.088906795137,6.239751838321392,524.8036497480927,9380.0
BHS,2,521.090316974692,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1660.5205082032812,55.84952359856443,13725.646258503399,1917.9128015933723,187.58005685984156,5753.738404780115,274.088906795137,6.239751838321392,524.8036497480927,9380.0
BHS,3,521.090316974692,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1660.5205082032812,55.84952359856443,13725.646258503399,1917.9128015933723,187.58005685984156,5753.738404780115,274.088906795137,6.239751838321392,524.8036497480927,9380.0
BHS,4,521.090316974692,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1660.5205082032812,55.84952359856443,13725.646258503399,1917.9128015933723,187.58005685984156,5753.738404780115,274.088906795137,6.239751838321392,524.8036497480927,9380.0
BHS,5,521.090316974692,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1660.5205082032812,55.84952359856443,13725.646258503399,1917.9128015933723,187.58005685984156,5753.738404780115,274.088906795137,6.239751838321392,524.8036497480927,9380.0
BHS,6,521.090316974692,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1660.5205082032812,55.84952359856443,13725.646258503399,1917.9128015933723,187.58005685984156,5753.738404780115,274.088906795137,6.239751838321392,524.8036497480927,9380.0
BHS,7,521.090316974692,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1660.5205082032812,55.84952359856443,13725.646258503399,1917.9128015933723,187.58005685984156,5753.738404780115,274.088906795137,6.239751838321392,524.8036497480927,9380.0
BHS,8,521.090316974692,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1660.5205082032812,55.84952359856443,13725.646258503399,1917.9128015933723,187.58005685984156,5753.738404780115,274.088906795137,6.239751838321392,524.8036497480927,9380.0
BHS,9,521.090316974692,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1660.5205082032812,55.84952359856443,13725.646258503399,1917.9128015933723,187.58005685984156,5753.738404780115,274.088906795137,6.239751838321392,524.8036497480927,9380.0
BHS,10,521.090316974692,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1660.5205082032812,55.84952359856443,13725.646258503399,1917.9128015933723,187.58005685984156,5753.738404780115,274.088906795137,6.239751838321392,524.8036497480927,9380.0
BHS,11,521.090316974692,22000.0,209.78,104.889166666667,187.7075,367.3625548236649,1660.5205082032812,55.84952359856443,13725.646258503399,1917.9128015933723,187.58005685984156,5753.738404780115,274.088906795137,6.239751838321392,524.8036497480927,9380.0
