year,iso_code3,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
2024,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2025,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2026,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2027,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2028,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2029,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2030,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2031,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2032,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2033,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2034,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2035,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2036,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2037,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2038,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2039,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2040,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2041,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2042,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2043,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2044,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2045,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2046,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2047,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2048,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2049,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2050,ABW,157649.6918,2013.27657153323,3393.61626247716,520.617706743271,63273.5285451585,12013.7227707745,56946.85645216,7115.46343903736,1792.77956934574,257.182107593677,1101.44531317704
2010,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2011,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2012,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2013,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2014,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2015,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2016,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2017,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2018,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2019,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2020,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2021,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2022,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2023,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2024,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2025,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2026,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2027,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
2028,AGO,13893926.22,35523.0161822709,102381.956432247,19196.8040384763,21036.557671785,1005828.82130433,108543.37306155,128796.170529634,64733.6520812565,2848.62839669296,26094.8823782224
